epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.41,1.50223,2.55155,1.39843,0.02038,0.25926,0.01563,0.00802,2.71773,1603.06,4.41759,0.0712,0.0032,0.0032
2,97.8829,1.61787,2.13413,1.33907,0.00051,0.15137,0.00323,0.00043,4.57665,11319.2,55.3511,0.0411782,0.00617825,0.00617825
3,137.87,1.61698,1.67693,1.33543,0,0,0,0,2.6446,63360.5,8.72302,0.0108298,0.0088298,0.0088298
4,179.052,1.65361,1.35352,1.33439,0.00066,0.32609,0.13997,0.03201,3.07797,755.907,3.44943,0.008515,0.008515,0.008515
5,220.33,1.30482,1.11459,1.15158,0.00017,0.1087,0.0003,3e-05,2.87956,1245.5,3.52161,0.00802,0.00802,0.00802
6,284.978,1.24479,0.95763,1.12713,0.72711,0.19565,0.19434,0.06829,2.34484,16.8376,2.18019,0.007525,0.007525,0.007525
7,368.448,1.2501,0.85497,1.11096,0.79422,0.37302,0.30052,0.20622,1.33026,3.58979,1.26777,0.00703,0.00703,0.00703
8,432.556,1.26865,0.85966,1.12288,0.93023,0.94814,0.96949,0.65988,1.10648,0.75551,1.15538,0.006535,0.006535,0.006535
9,488.953,1.11451,0.74587,1.04964,0.94987,0.95151,0.99222,0.69796,1.05871,0.74517,1.11098,0.00604,0.00604,0.00604
10,545.914,1.12367,0.72641,1.04902,0.96835,0.94937,0.99431,0.71768,1.06499,1.19828,1.09049,0.005545,0.005545,0.005545
11,598.241,1.01074,0.67249,1.06584,0.98301,0.99444,0.99436,0.7294,0.98445,0.59895,1.06075,0.00505,0.00505,0.00505
12,655.35,0.98281,0.64702,1.03546,0.99433,0.98913,0.995,0.73107,1.03766,0.58395,1.07518,0.004555,0.004555,0.004555
13,715.169,0.95888,0.57426,1.02745,0.9615,0.98547,0.99325,0.74076,0.96012,0.60094,1.03912,0.00406,0.00406,0.00406
14,766.561,0.96779,0.57299,1.03232,0.98779,1,0.995,0.74894,0.91805,0.56706,1.02941,0.003565,0.003565,0.003565
15,813.52,0.92607,0.54441,1.00479,0.99473,1,0.995,0.74905,0.95097,0.53974,1.03198,0.00307,0.00307,0.00307
16,864.04,0.94892,0.54787,1.03618,0.99589,1,0.995,0.75602,0.90982,0.51723,1.03283,0.002575,0.002575,0.002575
17,914.07,0.926,0.5097,1.01945,0.97831,1,0.995,0.76632,0.90281,0.48685,1.01273,0.00208,0.00208,0.00208
18,969.178,0.88984,0.51069,0.99732,0.99722,1,0.995,0.76302,0.89529,0.5104,1.01541,0.001585,0.001585,0.001585
19,1017.32,0.89297,0.48227,1.00295,0.97543,1,0.995,0.76497,0.90556,0.4887,1.01244,0.00109,0.00109,0.00109
20,1065.17,0.88595,0.481,0.99725,0.97682,1,0.995,0.77818,0.87592,0.45554,1.00505,0.000595,0.000595,0.000595
