epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9053,1.40166,2.4412,1.33822,0.84092,0.38889,0.42175,0.25495,1.38807,2.29341,1.82729,0.0712,0.0032,0.0032
2,41.4484,1.54174,1.78776,1.3687,0.0004,0.22222,0.0003,6e-05,3.98161,2154.16,10.2673,0.0411782,0.00617825,0.00617825
3,62.3414,1.49675,1.529,1.35322,0.0068,0.24034,0.00488,0.00234,3.74149,1075.07,4.16796,0.0108298,0.0088298,0.0088298
4,82.6244,1.40053,1.46623,1.2794,0.02551,0.49074,0.36858,0.23924,1.33515,39.5036,1.30676,0.008515,0.008515,0.008515
5,103.11,1.28577,1.12437,1.2065,0.68802,0.64412,0.71352,0.44165,1.35062,2.7757,1.29033,0.00802,0.00802,0.00802
6,123.91,1.20979,1.00805,1.18087,0.38164,0.11795,0.17805,0.10102,1.50706,3.1197,1.43332,0.007525,0.007525,0.007525
7,143.565,1.16601,0.91793,1.14625,0.5,0.42246,0.48198,0.32435,1.21611,3.16644,1.23396,0.00703,0.00703,0.00703
8,163.096,1.16133,0.89092,1.14156,0.52368,0.76849,0.69086,0.47587,1.09335,2.72923,1.13691,0.006535,0.006535,0.006535
9,183.75,1.08768,0.76706,1.08357,0.92153,0.83281,0.96189,0.69286,1.0275,1.0457,1.09094,0.00604,0.00604,0.00604
10,204.474,1.09598,0.75631,1.09081,0.97588,0.98011,0.99363,0.71114,1.01845,0.61623,1.07542,0.005545,0.005545,0.005545
11,224.397,0.96029,0.67033,1.05881,0.97568,0.97826,0.98236,0.7267,0.97318,0.69682,1.04938,0.00505,0.00505,0.00505
12,244.555,0.9745,0.69801,1.04354,0.97656,0.97826,0.98169,0.74752,0.92228,0.90924,1.05463,0.004555,0.004555,0.004555
13,263.47,0.93607,0.61069,1.03586,0.99408,0.96224,0.993,0.75709,0.89988,0.72378,1.02361,0.00406,0.00406,0.00406
14,283.095,0.91265,0.60311,1.02512,0.97678,0.97785,0.9913,0.75212,0.91354,0.63092,1.02525,0.003565,0.003565,0.003565
15,301.872,0.9101,0.57605,1.02223,0.97969,0.99924,0.99446,0.76031,0.92633,0.52364,1.02067,0.00307,0.00307,0.00307
16,329.416,0.91163,0.57976,1.04367,0.97966,1,0.99446,0.7597,0.92119,0.50572,1.02902,0.002575,0.002575,0.002575
17,358.698,0.90729,0.54276,1.03116,0.99408,0.98704,0.995,0.77264,0.88317,0.4743,1.00622,0.00208,0.00208,0.00208
18,391.55,0.87829,0.53505,1.01008,0.99725,0.98246,0.995,0.77942,0.86668,0.50683,1.00263,0.001585,0.001585,0.001585
19,421.436,0.86857,0.51039,1.00904,0.97519,1,0.995,0.78443,0.86284,0.4572,0.99681,0.00109,0.00109,0.00109
20,450.258,0.85309,0.50057,1.00533,0.97559,1,0.995,0.78395,0.86893,0.44098,0.99763,0.000595,0.000595,0.000595
